sentence,up_votes,down_votes,age,gender,accent,locale,segment,sentence_len,is_asian,us_eu,filename,transcript,confidence
"Operating an engine in this area is known as ""redlining"".",2,1,twenties,female,hongkong,en,,10,True,False,common_voice_en_23239232.mp3,operating the engine in this area is known as redlining,0.9705071449279785
While the cats away the mice play.,2,1,fourties,male,hongkong,en,,7,True,False,common_voice_en_17782213.mp3,while the cat's away the mice play,0.955782413482666
"The man looked up from his book and, noticing nothing newsworthy, returned his gaze to the page and continued reading.",2,0,fourties,male,hongkong,en,,20,True,False,common_voice_en_17776745.mp3,the man looked up from his book and noticing nothing newsworthy return his gaze to the page and continue reading,0.8369347453117371
Let's go to something!,2,1,thirties,female,hongkong,en,,4,True,False,common_voice_en_20751487.mp3,go to something,0.9107697606086731
Do as I say not as I do.,2,1,fourties,male,hongkong,en,,8,True,False,common_voice_en_17816539.mp3,do-as-i-say-not-as-i-do,0.9876290559768677
I need ten dollars.,2,0,thirties,male,hongkong,en,,4,True,False,common_voice_en_17620.mp3,dollars,0.9545038938522339
The nearest airfield is Bluefields Airport.,2,0,twenties,male,hongkong,en,,6,True,False,common_voice_en_22248809.mp3,the nearest airfield Airport,0.6755365133285522
To take a drop too much.,2,0,fourties,male,hongkong,en,,6,True,False,common_voice_en_17782890.mp3,take a drop too much,0.967158317565918
That's got nothing to do with it!,3,0,thirties,male,hongkong,en,,7,True,False,common_voice_en_17618.mp3,that's got nothing to do with it,0.9650453329086304
It can be relieved by moving stock into shade.,2,0,twenties,male,hongkong,en,,9,True,False,common_voice_en_22423375.mp3,it can be relieved by moving stock into shade,0.9453064799308777
The album was inspired by his divorce from his ex-wife.,2,0,twenties,male,hongkong,en,,10,True,False,common_voice_en_22248762.mp3,the album was inspired by his divorce from his ex-wife,0.9761185646057129
They are not oppressed to the stem.,2,1,twenties,female,hongkong,en,,7,True,False,common_voice_en_22979095.mp3,do you know of Crest to the scene,0.6709010601043701
The Kagawong River consists of two parts.,2,0,,male,hongkong,en,,7,True,False,common_voice_en_22913020.mp3,the caca one week bro consists of two parts,0.5947349071502686
The Connecticut Wits eventually followed their interests in divergent directions.,2,1,,,hongkong,en,,10,True,False,common_voice_en_22445754.mp3,interested,0.8015464544296265
"Such individuals may be detained indefinitely in ""ankang"" centres.",2,0,twenties,female,hongkong,en,,9,True,False,common_voice_en_22940328.mp3,such individuals may be detained indefinitely in on Town centers,0.9560373425483704
Least Heat-Moon has Osage and European-American ancestry.,2,0,twenties,male,hongkong,en,,7,True,False,common_voice_en_21786276.mp3,least heat-moon sausage and European American ancestry,0.9277892112731934
"The industries most commonly affected are banking, manufacturing, and government.",2,0,twenties,male,hongkong,en,,10,True,False,common_voice_en_22248779.mp3,the industry's most commonly affected a banking manufacturing & Kaufman,0.8554431200027466
The pirates seized the crew of the lost ship.,2,0,fourties,male,hongkong,en,,9,True,False,common_voice_en_17799162.mp3,Papyrus sees the crew of Battleship,0.8926229476928711
My hamster turned my homework into bedding.,3,0,thirties,male,hongkong,en,,7,True,False,common_voice_en_17733.mp3,my hamster turned my homework into bedding,0.9772253036499023
"He mashed in the controller buttons, hoping for some extra speed.",3,1,thirties,male,hongkong,en,,11,True,False,common_voice_en_17709.mp3,he mastered in the controller buttons hoping for some extra speed,0.9024977087974548
They're on their way.,2,1,thirties,male,hongkong,en,,4,True,False,common_voice_en_17610.mp3,they're on their way,0.946773886680603
The lure is used to catch trout and flounder.,2,0,fourties,male,hongkong,en,,9,True,False,common_voice_en_17787381.mp3,Dolores used to catch trout and Flounder,0.9198479056358337
Rabbit remains unswayed and returns home.,2,0,twenties,male,hongkong,en,,6,True,False,common_voice_en_22248403.mp3,rabbit we may stand Sway and returns home,0.6796068549156189
He affiliated himself with the Free Soil Party and was later a Republican.,2,0,twenties,female,hongkong,en,,13,True,False,common_voice_en_22630030.mp3,he Affiliated himself with the Free-Soil Party and was later a Republican,0.9625350832939148
Did you know that Nikola was going to join us?,2,0,twenties,male,hongkong,en,,10,True,False,common_voice_en_17264418.mp3,did you know that Nicola was going to join us,0.9380677938461304
The swan dive was far short of perfect.,2,0,fourties,male,hongkong,en,,8,True,False,common_voice_en_17776698.mp3,Swan Dive was fall short of perfect,0.8812198638916016
"This however, was his only attempt at Formula One.",2,0,twenties,male,hongkong,en,,9,True,False,common_voice_en_22248513.mp3,this however what is only attempt at Formula 1,0.7950453758239746
"Low-rate production would lead to type-classification, resulting in removing the ""X"" from its designation.",2,0,twenties,male,hongkong,en,,14,True,False,common_voice_en_22248431.mp3,low-wage potassium would lead to type of classification resulting in removing assassination,0.8846396803855896
The restoration also addressed decorative and environmental improvements to the building.,2,0,teens,male,hongkong,en,,11,True,False,common_voice_en_22224664.mp3,every story should also attract decorative and environmental improvements to the Buddha,0.9238312840461731
"All songs written by Peter Buck, Mike Mills, and Michael Stipe unless otherwise indicated.",2,0,twenties,male,hongkong,en,,14,True,False,common_voice_en_22400682.mp3,all songs written by Petersburg Mike Mills and microchips spit unless otherwise indicated,0.8198352456092834
The building has been designated by English Heritage as a Grade One listed building.,2,0,twenties,female,hongkong,en,,14,True,False,common_voice_en_22437940.mp3,the building has been decimated by English Heritage s grade one listed building,0.8906993269920349
"He played college football for the University of Florida, and earned All-American honors.",2,1,twenties,male,hongkong,en,,13,True,False,common_voice_en_22377282.mp3,we played flag football for the University of Florida,0.8627124428749084
The demand was scarce.,2,0,twenties,male,hongkong,en,,4,True,False,common_voice_en_23383935.mp3,Pokemon will stay good,0.5568161010742188
"In the same year, the United States Army built a telegraph station.",2,0,twenties,female,hongkong,en,,12,True,False,common_voice_en_22979093.mp3,in the same year to United States Army go to Telegraph station,0.866221010684967
This is similar to what happens when humans breathe or drink through a straw.,2,0,twenties,male,hongkong,en,,14,True,False,common_voice_en_23802590.mp3,this is similar to what happens when humans we eat or drink through a straw,0.9531411528587341
"Historic mills were usually powered by water, wind or horse power.",2,1,twenties,male,hongkong,en,,11,True,False,common_voice_en_17737894.mp3,historic news where you sweep out the pie Waterway no house power,0.6578565239906311
Every Jack has his Jill.,2,0,twenties,male,hongkong,en,,5,True,False,common_voice_en_17737893.mp3,Happy Jack's have kissed you,0.5262166857719421
She began her career as an economist at the World Bank.,2,0,teens,male,hongkong,en,,11,True,False,common_voice_en_18978482.mp3,she began her career as I ignore Mist as a ward back,0.8110613226890564
He first gained notice as an assistant district attorney in Philadelphia.,2,0,,male,hongkong,en,,11,True,False,common_voice_en_22913085.mp3,he first gained notice as an assistant district attorney in Philadelphia,0.9723597168922424
Many retain their original window stickers.,2,0,twenties,male,hongkong,en,,6,True,False,common_voice_en_22355865.mp3,98 original window sticker,0.9690240025520325
The medal was worn on the upper right side of the chest.,2,0,twenties,male,hongkong,en,,12,True,False,common_voice_en_22423363.mp3,the Matawan on the upper right side of the chest,0.8956939578056335
Almost nothing is known about its characteristics.,2,0,twenties,female,hongkong,en,,7,True,False,common_voice_en_22437967.mp3,almost nothing is known about his characteristics,0.8882932662963867
It shall be done!,2,0,fourties,male,hongkong,en,,4,True,False,common_voice_en_17782881.mp3,it shall be done,0.9672977328300476
But I'm liable to get into a jam.,2,1,fourties,male,hongkong,en,,8,True,False,common_voice_en_219324.mp3,but I'm liable to get into a jam,0.9877190589904785
A later letter informs Watanabe that Naoko has killed herself.,3,2,twenties,male,hongkong,en,,10,True,False,common_voice_en_23383926.mp3,Olathe that sells informs waterbed that now go has killed herself,0.8420634865760803
It is owned by Concord Bicycle Music.,2,0,twenties,male,hongkong,en,,7,True,False,common_voice_en_21786688.mp3,it is owned by Concord bicycle music,0.9703291058540344
I have a headache and a sore throat.,2,0,fourties,male,hongkong,en,,8,True,False,common_voice_en_17776605.mp3,I have a headache and a sore throat,0.9876289963722229
Regional municipalities are found only in Southern Ontario.,2,1,twenties,male,hongkong,en,,8,True,False,common_voice_en_21786544.mp3,Legion of municipalities are only found in Southern Ontario,0.9323798418045044
"In a cinematic rope-down maneuver, the special forces overwhelmed the criminals.",2,0,fourties,male,hongkong,en,,11,True,False,common_voice_en_17787324.mp3,Anna cinematic rubdown maneuver the Special Forces overwhelmed the criminals,0.8574787378311157
The game is set in the world of Vikings and Norse mythology.,2,1,thirties,male,hongkong,en,,12,True,False,common_voice_en_22449613.mp3,the game is set in the world of Vikings in North mythology,0.9838427901268005
"Six days later, the station reopened with a temporary building.",2,0,twenties,male,hongkong,en,,10,True,False,common_voice_en_22257618.mp3,6 days later the station reopened a temporary building,0.8806073665618896
The greater number of strings offers almost endless possibilities.,2,0,,male,hongkong,en,,9,True,False,common_voice_en_22913432.mp3,the greater number of strings offers almost endless possibilities,0.9539616107940674
Saint Moling founded a monastery on the River Barrow.,2,1,twenties,male,hongkong,en,,9,True,False,common_voice_en_22248807.mp3,thank you morning found a monastery on the reefer power,0.8563810586929321
"Two seasons later, a second-placed finish saw them promoted back to the Premier Division.",2,0,twenties,female,hongkong,en,,14,True,False,common_voice_en_22967845.mp3,two seasons later a second-place finish Sergeant promoted back to the Premier Division,0.8791478276252747
The Pistons traded Hill to Orlando for Chucky Atkins and Ben Wallace.,2,0,twenties,female,hongkong,en,,12,True,False,common_voice_en_22940330.mp3,the Pistons traded Hill to Orlando for Chucky Atkins and Ben Wallace,0.9503436088562012
"Morris was born in Radcliffe, Lancashire.",2,0,twenties,male,hongkong,en,,6,True,False,common_voice_en_21786746.mp3,Morris was born in Radcliffe Lancashire,0.8760087490081787
It is the only major A-road in Australia that is partially unsealed.,2,0,,,hongkong,en,,12,True,False,common_voice_en_22445694.mp3,what is the only measure a road in Australia,0.7997183203697205
The public market is in the area.,2,1,twenties,male,hongkong,en,,7,True,False,common_voice_en_23592781.mp3,the public market is in the area,0.9063082337379456
"As a result, conventional military strategies often demand possession of high ground.",2,0,thirties,female,hongkong,en,,12,True,False,common_voice_en_22332460.mp3,as a result conventional military strategies of the demonic possession of high ground,0.9018036127090454
A number of people have hailed from Nyeri County.,2,0,twenties,male,hongkong,en,,9,True,False,common_voice_en_21786168.mp3,a number of people of held from Niagara County,0.8345777988433838
It can loosely be defined as the inverse of the reaction rate.,2,0,twenties,male,hongkong,en,,12,True,False,common_voice_en_22423376.mp3,you can do CPT find a nasty in purse of the reaction rate,0.7868525385856628
Once you get familiar with it you will want to use it for everything.,3,0,thirties,male,hongkong,en,,14,True,False,common_voice_en_17567.mp3,what's get familiar with that you will want to use it for everything,0.8594546914100647
I'm always up before the sun has risen.,2,0,twenties,male,hongkong,en,,8,True,False,common_voice_en_18441986.mp3,I'm always up before the sun has blighted,0.9557902812957764
Organisms typically cannot metabolize all types of carbohydrate to yield energy.,2,1,twenties,male,hongkong,en,,11,True,False,common_voice_en_22257847.mp3,organisms typically cannot metabolize all types of carbohydrate to you energy,0.929294764995575
The pods of peas ferment in bare fields.,2,0,fourties,male,hongkong,en,,8,True,False,common_voice_en_17853220.mp3,Apostle of Peace Furman in Fairfield,0.7419983744621277
Grasp no more than thy hand will hold.,2,0,fourties,male,hongkong,en,,8,True,False,common_voice_en_17816584.mp3,cross no more than die hand with her,0.7585465312004089
We must therefore conclude that he had no such pretensions.,2,0,twenties,male,hongkong,en,,10,True,False,common_voice_en_22245628.mp3,we must therefore conclude that he had no such pretensions,0.9269976615905762
It has also been asserted that this questions the peer review process.,2,0,twenties,male,hongkong,en,,12,True,False,common_voice_en_21786163.mp3,it has also demonstrated that this question is the peer-review process,0.8177734613418579
You wouldn't mind living in the nicest house in town.,3,0,thirties,male,hongkong,en,,10,True,False,common_voice_en_214005.mp3,it wouldn't mind living in the nicest house in Charmed,0.925323486328125
Before he gets through tonight he'll ruin us all!,4,2,thirties,male,hongkong,en,,9,True,False,common_voice_en_17771.mp3,before he gets through tonight he will ruin us all,0.9568676948547363
"Not just that, I have a feeling I'll be helping you track down your wayward researcher as well.",2,0,fourties,male,hongkong,en,,18,True,False,common_voice_en_17787339.mp3,I'll just that I have a feeling I'll be helping you track down your wayward researcher as well,0.8995473384857178
All cats are grey in the dark.,2,0,fourties,male,hongkong,en,,7,True,False,common_voice_en_17799199.mp3,all cats are grey in the dark,0.8200449347496033
"Nowadays, there are hydroelectric power stations in use.",2,1,twenties,male,hongkong,en,,8,True,False,common_voice_en_23786951.mp3,nowadays there are hydroelectric power stations in use,0.9426014423370361
Sarah told him that she was there to see her brother.,2,1,fourties,male,hongkong,en,,11,True,False,common_voice_en_17816540.mp3,Sarah told him that she was there to see her brother,0.9167436957359314
The Ocklawaha Hotel catered to the wealthy.,2,0,twenties,male,hongkong,en,,7,True,False,common_voice_en_23383929.mp3,Okinawa hotel located to the Ralphie,0.8695563673973083
His great-granddaughter Margaret Biddle married Thomas Biddle of the Biddle family of Philadelphia.,2,0,thirties,male,hongkong,en,,13,True,False,common_voice_en_22449599.mp3,"his great-granddaughter Margaret Biddle married, settle the little family of Philadelphia",0.813016951084137
"Doctor, we have a medical emergency, and we need you at the emergency room now.",2,0,fourties,male,hongkong,en,,15,True,False,common_voice_en_17782884.mp3,doctor we have a medical emergency and we need you at the emergency room now,0.9423326849937439
These sausages are extremely tasty.,2,0,fourties,male,hongkong,en,,5,True,False,common_voice_en_219297.mp3,these sausages are extremely tasty,0.9751133918762207
And I'm going to build things.,3,0,thirties,male,hongkong,en,,6,True,False,common_voice_en_17693.mp3,and I'm going to view things,0.8907015919685364
"""I started my family from scratch again,"" he said.",2,0,twenties,male,hongkong,en,,9,True,False,common_voice_en_22378001.mp3,I started my family from scratch together is that,0.823198676109314
"The little girl wanted to have a balloon, but was too shy to ask.",2,0,fourties,male,hongkong,en,,14,True,False,common_voice_en_17776695.mp3,a little girl wanted to have a balloon that was too shy to ask,0.9317328333854675
I am supposed to be here.,2,1,fourties,male,hongkong,en,,6,True,False,common_voice_en_17782223.mp3,I'm supposed to be here,0.9870327711105347
Home is where the heart is.,2,0,fourties,male,hongkong,en,,6,True,False,common_voice_en_17860946.mp3,home is where the heart is,0.9789966940879822
"The site is owned by ""The Chronicle of Higher Education"".",2,0,twenties,male,hongkong,en,,10,True,False,common_voice_en_22245624.mp3,the site is owned by the Conoco of higher education,0.8906761407852173
"Although she is beautiful, she would rather be with the horses than with men.",2,0,twenties,male,hongkong,en,,14,True,False,common_voice_en_23377199.mp3,although she is beautiful she would rather be with the horses than with man,0.8777079582214355
"If there is evidence of failure to disclose, yes, we have a problem.",2,0,twenties,male,indian,en,,13,True,False,common_voice_en_22378145.mp3,your pet is evidence of failure to disclose yes we have a problem,0.8931756615638733
"The sign is normally pronounced ""plus or minus"".",2,0,twenties,female,indian,en,,8,True,False,common_voice_en_18733683.mp3,the sign is nomination ounce plus or minus,0.7385444641113281
Meanwhile Win Chadha also died.,2,0,thirties,male,indian,en,,5,True,False,common_voice_en_19437194.mp3,meanwhile Venture data also died,0.8607023358345032
Where is my dress?,2,0,twenties,male,indian,en,,4,True,False,common_voice_en_17520264.mp3,where is my dress,0.9165018200874329
Benjamin was snacking on strips of bacon.,2,1,teens,female,indian,en,,7,True,False,common_voice_en_155227.mp3,Benjamin was not even strips of bacon,0.844734251499176
The Quakers have a Meeting House on the Lower Churchtown Road.,2,1,twenties,male,indian,en,,11,True,False,common_voice_en_22292169.mp3,wake up have a meeting house only Nova chat download,0.853549599647522
Musically we were going to meet each other half way.,2,1,twenties,male,indian,en,,10,True,False,common_voice_en_18733300.mp3,basically we're going to need each other.,0.8274537324905396
Surveys are just like a platform where good and bad estimations are mingled together.,2,0,thirties,female,indian,en,,14,True,False,common_voice_en_21721575.mp3,surveys are just like a platform there good and bad estimations are mingled together,0.909643292427063
Emory has numerous club sports and a variety of recreational and competitive intramural teams.,2,0,teens,female,indian,en,,14,True,False,common_voice_en_21362374.mp3,Amar'e has you miss club sports and variety of recreational and competitive intramural team,0.8534734845161438
A colour version of the music video was later made available.,2,0,thirties,male,indian,en,,11,True,False,common_voice_en_20735452.mp3,color version of the music video,0.811828076839447
Emma's going away immediately after tea might give offence.,2,0,twenties,male,indian,en,,9,True,False,common_voice_en_19953596.mp3,do you mind going every immediately after tea might give offense,0.7552192211151123
Valentine sits on the boards of several organisations in the United Kingdom.,2,0,thirties,male,indian,en,,12,True,False,common_voice_en_18946831.mp3,196 on the boards of several organizations in the United Kingdom,0.894528329372406
She spent almost all night finishing her thesis.,2,0,twenties,male,indian,en,,8,True,False,common_voice_en_109349.mp3,she spent almost all night finishing her thesis,0.9489559531211853
Gold- and silversmiths as well as copper engraving and lithography flourished.,2,0,fourties,male,indian,en,,11,True,False,common_voice_en_23541654.mp3,gold and silver snakes as well as copper and gravy and a florist,0.7989998459815979
Claudius returned to Rome after the battle to attend to affairs of state.,2,0,twenties,male,indian,en,,13,True,False,common_voice_en_19477209.mp3,Claudius return to Rome after the battle to attend to Affairs of State,0.9454158544540405
"He's a regular and he's connected, but then I expect you knew that much already.",3,0,twenties,male,indian,en,,15,True,False,common_voice_en_17276740.mp3,he's a regular and is connected but then I expect you knew that much already,0.9215773344039917
His career spanned more than fifty years.,2,0,twenties,female,indian,en,,7,True,False,common_voice_en_22447951.mp3,his career spanned more than 50 years,0.944115936756134
"It was seen early in the morning, rushing over eastward.",3,0,thirties,male,indian,en,,10,True,False,common_voice_en_120091.mp3,April scene early in the morning rushing over Eastwood,0.8700124621391296
"The Amazons were attributed to the Circassians via the root ""maze"".",2,0,twenties,female,indian,en,,11,True,False,common_voice_en_22670212.mp3,Amazon's were attributed the suggestions via the root maze,0.7774231433868408
"""Shining Force"" also possesses an exploration mode that occurs outside of battle.",2,1,twenties,male,indian,en,,12,True,False,common_voice_en_23627830.mp3,Shining Soul in Exploration mode.,0.8626775741577148
"They are part of the Sawa ethnic groups, those who live on the coast.",2,0,thirties,male,indian,en,,14,True,False,common_voice_en_21476599.mp3,did our part of the Sabah ethnic groups those who live on the coast,0.8800768256187439
It is the biggest telescope in the world.,2,1,twenties,male,indian,en,,8,True,False,common_voice_en_18666500.mp3,is the biggest telescope in the world,0.9757985472679138
You can pay with both escudos and euros.,2,1,twenties,male,indian,en,,8,True,False,common_voice_en_22312599.mp3,open carry laws in New York,0.8423829674720764
In one match the Gentlemen had eighteen and in two more seventeen.,2,0,twenties,male,indian,en,,12,True,False,common_voice_en_22772596.mp3,in one match the gentleman had 18 and into more 17,0.8913381099700928
The newspapers demanded democracy.,2,0,twenties,male,indian,en,,4,True,False,common_voice_en_13813670.mp3,the newspapers demanded democracy,0.9565531015396118
We're going to Paris for our honeymoon.,2,0,thirties,male,indian,en,,7,True,False,common_voice_en_18427495.mp3,we're going to Paris for our honeymoon,0.9491926431655884
"The more you read, the better you will be understood.",2,0,teens,male,indian,en,,10,True,False,common_voice_en_17247726.mp3,the more you read the battery will be understood,0.9446375370025635
A walking path surrounds the whole complex.,2,1,twenties,male,indian,en,,7,True,False,common_voice_en_19201294.mp3,are walking parks around Stonewall complex,0.8182485699653625
"Most people using the term ""exponentially"" don't know what it actually means.",2,0,twenties,male,indian,en,,12,True,False,common_voice_en_17779740.mp3,most people using the thumb exfoliant really don't know what actually means,0.8406448364257812
"Words are, in my not-so-humble opinion, our most inexhaustible source of magic.",2,1,twenties,male,indian,en,,12,True,False,common_voice_en_17392884.mp3,red sore in my not-so-humble opinion,0.9440633654594421
"The couple had one son, Mario.",2,0,twenties,male,indian,en,,6,True,False,common_voice_en_22321100.mp3,the couple had one son Mario,0.4531855583190918
"Alcohol, tobacco, coffee and tea were prohibited, as in many Latter Day Saint denominations.",2,0,twenties,male,indian,en,,14,True,False,common_voice_en_19459011.mp3,Alcohol Tobacco coffee and tea were prohibited as in many Latter Day Saint denominations,0.9107359647750854
I know very well what you're talking about.,2,0,twenties,female,indian,en,,8,True,False,common_voice_en_179975.mp3,I know very well what you talking about,0.9465112686157227
Such brilliant tactical success earned him a permanent place among Korea's most famous leaders.,2,0,twenties,female,indian,en,,14,True,False,common_voice_en_22687296.mp3,such brilliant tactical stocks is around him a prominent Place among Korea's most famous leaders,0.895537257194519
The engine gave about six horse-power.,2,0,thirties,female,indian,en,,6,True,False,common_voice_en_21764414.mp3,the engine gave about 6 horsepower,0.7758355736732483
"Chespirito owned the rights to ""El Chavo"" and ""El Chapulín Colorado"".",2,1,twenties,male,indian,en,,11,True,False,common_voice_en_18685062.mp3,despedido on the rights to El Chavo and El chapulin Colorado,0.8041565418243408
"On basis of the report, a global tender was floated.",2,0,thirties,male,indian,en,,10,True,False,common_voice_en_19023271.mp3,on basis of gender was floating,0.6717756390571594
Its E minor soprano solo is prefigured in Weronika's final performance.,2,0,twenties,female,indian,en,,11,True,False,common_voice_en_22448659.mp3,C minor soprano solo is prefigured in Veronica's final performance,0.9300044775009155
Services are scant along this road.,3,1,twenties,male,indian,en,,6,True,False,common_voice_en_23702810.mp3,can we discuss can't along this route,0.7090041041374207
I'm going to medical school.,2,1,twenties,male,indian,en,,5,True,False,common_voice_en_18577158.mp3,I'm going to medical school,0.9452300071716309
Have you the key?,2,0,twenties,male,indian,en,,4,True,False,common_voice_en_17704589.mp3,have you the key,0.9703090786933899
Do you like fruit?,2,1,thirties,male,indian,en,,4,True,False,common_voice_en_17251288.mp3,do you like fruit,0.953910768032074
"Ignoring these orders, the Marines continued to resist.",3,0,twenties,male,indian,en,,8,True,False,common_voice_en_19760554.mp3,ignoring these orders Americans continue to resist,0.8860041499137878
"Ordering is approximate, as there is considerable overlap.",3,0,thirties,male,indian,en,,8,True,False,common_voice_en_22781009.mp3,are there any is approximate as there is considerable overlap,0.9629260897636414
"When there's a loss of cabin pressure, oxygen masks will automatically drop down.",2,0,thirties,male,indian,en,,13,True,False,common_voice_en_17250950.mp3,Monday is a loss of cabin pressure oxygen masks will automatically drop down,0.8614298105239868
Ignorance is bliss.,2,0,twenties,male,indian,en,,3,True,False,common_voice_en_18242582.mp3,ignorance is bliss,0.9819054007530212
Development of tametraline was soon stopped because of undesired stimulant effects observed in animals.,2,0,twenties,male,indian,en,,14,True,False,common_voice_en_21846409.mp3,text Metrolina Christian stopped because it's undesired stimulant effect observed in animals,0.8804381489753723
"More double-length legs were shown from seasons seven to ten, fourteen.",2,0,twenties,female,indian,en,,11,True,False,common_voice_en_22331768.mp3,ball double length legs for Sean from season 7 to 10:14,0.7971704006195068
