,client_id,path,sentence,up_votes,down_votes,age,gender,accent,locale,segment,sentence_len,is_asian,us_eu
1259946,8449194e8b74b81d761d7a3786cdd5d099aff4f33737c7f476edf3435c3eb483ff6d6515d153c7cfb9193821f01a3a0bd6b049740b029acd7b1488df9bd579d8,common_voice_en_22298703.mp3,The episodes are viewed in the same way as the comics are released.,2,0,twenties,female,australia,en,,13,False,True
392769,02ac69bf462d6346d89a63b1b391486e72c7352b6508ea664cbc4e41bf4e685fe589c70258ea9fbdfdfeb8897f4a122b61b720a7be603fd6da8ab89ed916358d,common_voice_en_19676189.mp3,Mountain Pointe is a part of the Tempe Union High School District.,2,0,twenties,male,australia,en,,12,False,True
1360864,7963691c43c8cc498c58f117527522bf772c76c38530570bc55ef04834f67fb7a9227bd0fa1f13e64e8de1cde6594f3501e172ab86559697c08726cac26f4c6f,common_voice_en_20768932.mp3,This term applies to opposite points on a circle or any n-sphere.,2,0,teens,other,australia,en,,12,False,True
1361400,7963691c43c8cc498c58f117527522bf772c76c38530570bc55ef04834f67fb7a9227bd0fa1f13e64e8de1cde6594f3501e172ab86559697c08726cac26f4c6f,common_voice_en_20934336.mp3,"Today there are attempts to develop the work of local artisans, especially in ceramics.",2,0,teens,other,australia,en,,14,False,True
1171237,4bf6a8447c3ff99dfd903adf11f2bcbd514fed0b77f26f4f616ada44fb86fbfa997a1540d148fb84a4dcb156451938398b05c74b838cb7988a5ed4813e08d059,common_voice_en_22236698.mp3,The Mayor is elected for four-year terms.,2,0,fourties,male,australia,en,,7,False,True
1238059,379dd19cb981e4e0c55e088d74083093ee704d0d2332e65e056b9022bdec56c78d8ad347227fd8b76f9cec853b8fe539142ee5745e0a97c2a4c471187541f91a,common_voice_en_15734626.mp3,The phone call got interrupted due to unknown reasons.,2,0,fourties,male,australia,en,,9,False,True
1359585,7963691c43c8cc498c58f117527522bf772c76c38530570bc55ef04834f67fb7a9227bd0fa1f13e64e8de1cde6594f3501e172ab86559697c08726cac26f4c6f,common_voice_en_20357673.mp3,"He played Legion baseball in Oxford, Pennsylvania.",2,0,teens,other,australia,en,,7,False,True
1260197,8449194e8b74b81d761d7a3786cdd5d099aff4f33737c7f476edf3435c3eb483ff6d6515d153c7cfb9193821f01a3a0bd6b049740b029acd7b1488df9bd579d8,common_voice_en_22319685.mp3,"The band also played for Aitken on his single, ""Rudi Got Married"".",2,1,twenties,female,australia,en,,12,False,True
740363,63cf30b62eb97a124a87e6746a63af766deebf3bf3f4077c8a8652957bc406d3ff8534636cdf0bf4b6e2788d92f1b5c8623d09b2e43cc77bc663b92788724a0c,common_voice_en_19794290.mp3,"Ecco's name was suggested by Halpern's initial backer, ketchup heiress Drue Heinz.",2,0,seventies,female,australia,en,,12,False,True
1356143,7963691c43c8cc498c58f117527522bf772c76c38530570bc55ef04834f67fb7a9227bd0fa1f13e64e8de1cde6594f3501e172ab86559697c08726cac26f4c6f,common_voice_en_19018878.mp3,"For this, he was named a Disney Legend.",2,0,teens,other,australia,en,,8,False,True
1356492,7963691c43c8cc498c58f117527522bf772c76c38530570bc55ef04834f67fb7a9227bd0fa1f13e64e8de1cde6594f3501e172ab86559697c08726cac26f4c6f,common_voice_en_19081425.mp3,The Monday to Friday off-peak service is two trains per hour each way.,2,0,teens,other,australia,en,,13,False,True
913466,8c95472e14e0b5b5186e951bb2a3e4945d14fc395dbce34625c58882ee479705b8d16ee105bcac0199e900cdbaac4300d26d449b65c8d8f1232ecdc2a76c57e7,common_voice_en_17277871.mp3,Will you marry me?,2,0,thirties,male,australia,en,,4,False,True
1188011,cbbf0b4896d532ed8bfad4d3a82e356c699d62cc1f88faaaae8cfeca06bb2376e81af1802e342dfedc6673c08b59d030e0892299d0d516938fc4b40c0b9396fe,common_voice_en_21636854.mp3,Roberts Media is wholly owned by veteran broadcaster Larry Roberts.,2,0,twenties,male,australia,en,,10,False,True
1353987,7963691c43c8cc498c58f117527522bf772c76c38530570bc55ef04834f67fb7a9227bd0fa1f13e64e8de1cde6594f3501e172ab86559697c08726cac26f4c6f,common_voice_en_18458792.mp3,Can maths explain everything?,2,0,teens,other,australia,en,,4,False,True
145064,940dfd7d0388bf6db91bd2a3ae95fdab5e9fd9cb86784065c643fbfff3f567f32b5fe9cd0310a28c32617eb5dc3d072565c423f89fad2b652f06e14521daae6d,common_voice_en_212902.mp3,"I didn't find the blow-dryer, so I just used the vacuum-cleaner.",2,1,fourties,female,australia,en,,11,False,True
370482,c41ec05bd3d10e42285b884b75f460d474f25d80fa75bc601a918463f7049d9b1cd099de8354e31bfd4facdc19f86e8e097eb896dc63371dbe8816348a854275,common_voice_en_22777441.mp3,Dwelly was nonetheless eager to express his gratitude to those who assisted him.,2,0,thirties,other,australia,en,,13,False,True
1357509,7963691c43c8cc498c58f117527522bf772c76c38530570bc55ef04834f67fb7a9227bd0fa1f13e64e8de1cde6594f3501e172ab86559697c08726cac26f4c6f,common_voice_en_19429298.mp3,The stadium has since been heavily damaged by looters.,2,0,teens,other,australia,en,,9,False,True
1261056,8449194e8b74b81d761d7a3786cdd5d099aff4f33737c7f476edf3435c3eb483ff6d6515d153c7cfb9193821f01a3a0bd6b049740b029acd7b1488df9bd579d8,common_voice_en_23733153.mp3,"In the early history of Islam, Hanafi doctrine was not fully compiled.",2,0,twenties,female,australia,en,,12,False,True
1238930,379dd19cb981e4e0c55e088d74083093ee704d0d2332e65e056b9022bdec56c78d8ad347227fd8b76f9cec853b8fe539142ee5745e0a97c2a4c471187541f91a,common_voice_en_18460263.mp3,I think a sequential model can solve this problem.,2,0,fourties,male,australia,en,,9,False,True
702406,5254a406c45e5cc90bc325cd600c038079f151788ebc2b329169a18d78b007218f1ec0d18a2c40ab048e71580af550fd5637f56a16c5b1780abf560220de4ded,common_voice_en_21799750.mp3,"During the early period of Ottoman rule, Berat fell into severe decline.",2,0,fifties,male,australia,en,,12,False,True
1149455,008f1e5e50d2af1343f74a4f7a841bb49fe5083abd8cb36ed80f1da59223569b2b7b2945f3b885eb6a2d91d0704af7b2e891f0a6f8ffd6bec00832870bf6ca97,common_voice_en_17290524.mp3,Did you hear anything?,2,0,teens,other,australia,en,,4,False,True
1362732,7963691c43c8cc498c58f117527522bf772c76c38530570bc55ef04834f67fb7a9227bd0fa1f13e64e8de1cde6594f3501e172ab86559697c08726cac26f4c6f,common_voice_en_21692099.mp3,All seven seasons are also currently available through a Canadian subscription to Netflix.,2,1,teens,other,australia,en,,13,False,True
374929,6fce309f50a47ea4bf8808c25381e81ef5d376878b325091e26838398f825f574d79f5dba0a6d4151036888a51ec05d959aae26a4b85d820fb8807d9f5e272e8,common_voice_en_20282479.mp3,It is located in a valley in Pok Fu Lam.,2,0,twenties,male,australia,en,,10,False,True
1359021,7963691c43c8cc498c58f117527522bf772c76c38530570bc55ef04834f67fb7a9227bd0fa1f13e64e8de1cde6594f3501e172ab86559697c08726cac26f4c6f,common_voice_en_20013431.mp3,"Esther Deans wrote the books ""No-Dig Gardening"" and ""Leaves of Life"".",2,0,teens,other,australia,en,,11,False,True
692772,f11bbaf10dbb365a81e9cebe3e8adefced99bf591492e236652d41483afa946a49290138f4f62a5ce7f4ac3df448a5585d065a4bbdeb09256831fed6408b5f0f,common_voice_en_17260185.mp3,Have you ever been to Singapore?,2,0,fourties,male,australia,en,,6,False,True
702307,5254a406c45e5cc90bc325cd600c038079f151788ebc2b329169a18d78b007218f1ec0d18a2c40ab048e71580af550fd5637f56a16c5b1780abf560220de4ded,common_voice_en_21595337.mp3,The story is written with extraordinary language and a brilliant style.,2,0,fifties,male,australia,en,,11,False,True
637895,1710dcacb55f01312fb789be94bcd9ca5a6611ade57b92e6b5d8e913f66ab4fd2c125c4ef7b26181f00148eb8488a0b338fc7424656fde1a8c580b9fe573cd02,common_voice_en_216435.mp3,He was my brother.,2,0,thirties,male,australia,en,,4,False,True
1239400,379dd19cb981e4e0c55e088d74083093ee704d0d2332e65e056b9022bdec56c78d8ad347227fd8b76f9cec853b8fe539142ee5745e0a97c2a4c471187541f91a,common_voice_en_18536557.mp3,It has a cascading effect.,2,0,fourties,male,australia,en,,5,False,True
1239630,379dd19cb981e4e0c55e088d74083093ee704d0d2332e65e056b9022bdec56c78d8ad347227fd8b76f9cec853b8fe539142ee5745e0a97c2a4c471187541f91a,common_voice_en_18543164.mp3,"However, ‘jurymen’ would have done just as well.",2,0,fourties,male,australia,en,,8,False,True
1356922,7963691c43c8cc498c58f117527522bf772c76c38530570bc55ef04834f67fb7a9227bd0fa1f13e64e8de1cde6594f3501e172ab86559697c08726cac26f4c6f,common_voice_en_19206647.mp3,"But the title is also a rather obscure nod to The Beatles' ""Revolver"".",2,1,teens,other,australia,en,,13,False,True
873900,0212a6646cd3447d5018448f4a57100f8d786debf093972b9e67d1e91109f2523cabd93aea07a32629504e8a909267f9bc73c16917a0eeec176193d1be673cb4,common_voice_en_18979043.mp3,"For a left-handed percussionist, the legs and hands are switched.",2,0,twenties,male,australia,en,,10,False,True
541732,6b099135b2d329bd24cb0c8a7325c1ea638cc6999b1a4c27f4a32e4faca5345937f885896bc7127b554dc0aff1a9d1d8b424bc6360858f71802154fb57eae4ea,common_voice_en_18986688.mp3,"Soon after this ""rediscovery,"" Boubacar's wife died during childbirth.",2,0,seventies,male,australia,en,,9,False,True
461528,a87ee22ab21c01cf6a16f4f4a50c5f7131721bbaf1db5f0aef4f20092f3e8f517e34c23757e167042145b297b1ea28749e3562a048a14c3da1f2581753c85e3c,common_voice_en_17249486.mp3,Did you rewind the cassette?,2,0,thirties,male,australia,en,,5,False,True
873946,0212a6646cd3447d5018448f4a57100f8d786debf093972b9e67d1e91109f2523cabd93aea07a32629504e8a909267f9bc73c16917a0eeec176193d1be673cb4,common_voice_en_18979234.mp3,"He secured the support of Arnaud Montebourg, who placed third, soon thereafter.",2,0,twenties,male,australia,en,,12,False,True
726243,39dcbb296075e4a5ed856e1a15ee180de702ad8768999e88a9aa52d3248f08f4f9b37c4737f93e029600442791935bbb861550621f885731d099c9b002c0125e,common_voice_en_19388558.mp3,George was the Chairman of the Society of Black Engineers' Publications Committee.,2,0,twenties,male,australia,en,,12,False,True
412146,33f69d92026bddab494148a3d370e158f83706d94c900440250a8b1a243efe823a8da8ea130f2fc3778112b807fc75e270dc88e4b00dcfd7c5ed9d10985b4db2,common_voice_en_23382844.mp3,Over three-quarters of these deaths occurred in sub-Saharan Africa.,2,0,thirties,male,australia,en,,9,False,True
1353944,7963691c43c8cc498c58f117527522bf772c76c38530570bc55ef04834f67fb7a9227bd0fa1f13e64e8de1cde6594f3501e172ab86559697c08726cac26f4c6f,common_voice_en_18455743.mp3,My daughter is hoping to volunteer at a nature reserve.,2,0,teens,other,australia,en,,10,False,True
1359646,7963691c43c8cc498c58f117527522bf772c76c38530570bc55ef04834f67fb7a9227bd0fa1f13e64e8de1cde6594f3501e172ab86559697c08726cac26f4c6f,common_voice_en_20365739.mp3,Murrysville is within the Franklin Regional School District.,2,0,teens,other,australia,en,,8,False,True
370775,ce2851cb79f42012aca60cbbcaca9fcbdb2159771061dcffdf6d2095f79d8401479a8b370eb7b5ad7209fa9c7e4bdcff9975031727b1b4de6af6b40f92a4fff3,common_voice_en_21337950.mp3,There are many variants of the puzzle.,2,0,twenties,male,australia,en,,7,False,True
811525,6d28bc4d876b12f0a0fdb19e2c3deb4b16298632ff4190ef666da44153b538ad0a447327e26045f0f373bcf4f3adb8b715d360d61a9ea457745f9fde1784ca38,common_voice_en_19871724.mp3,"The unusual strategy worked, and the Yellow Jackets upset Notre Dame.",2,0,twenties,male,australia,en,,11,False,True
1259563,8449194e8b74b81d761d7a3786cdd5d099aff4f33737c7f476edf3435c3eb483ff6d6515d153c7cfb9193821f01a3a0bd6b049740b029acd7b1488df9bd579d8,common_voice_en_22278592.mp3,It is named for the Portuguese explorer Vasco da Gama.,2,0,twenties,female,australia,en,,10,False,True
742379,12266ce471d445ebc9a7b937a8dd7a2f10083ce10dcc62ed20c9c6d065199f3ab1cbf4d8435fc072e347641e9b599e6630b7c6a8ed741191c0d10ddd0babe1cf,common_voice_en_22069033.mp3,"The skeleton comes magically to life and becomes Terrybubble, a live dinosaur skeleton.",2,0,teens,male,australia,en,,13,False,True
890934,0db465d830e651a7dd31715496cf55a0aea7bdeab6afc3ab8afaf727e6721ffd0d21c9d5ebda786a324fe78fb70cb05a0a3713bf4b4a480b457ca724b36b07c6,common_voice_en_17746452.mp3,"Back to our original plan, I think.",2,0,fourties,male,australia,en,,7,False,True
1361537,7963691c43c8cc498c58f117527522bf772c76c38530570bc55ef04834f67fb7a9227bd0fa1f13e64e8de1cde6594f3501e172ab86559697c08726cac26f4c6f,common_voice_en_20957061.mp3,Trockel is notable for her work as a conceptual artist.,2,1,teens,other,australia,en,,10,False,True
326982,d974302322081571b02a93317e87ed1506e2238e316b1772a339069c09363e762965cba2f7078b0c4189ee853508dd4010af2828724ec88847ca1b188756fa10,common_voice_en_20220400.mp3,LaRue refused to testify against Nixon or any other Watergate figure.,2,0,sixties,male,australia,en,,11,False,True
1137532,c891b3370620fe609c295123b25ef838bb0a735d3ca17c7a736e0ccd02951477f0a7d0d3615f9ef71d84fdc93baea83982eb3d731beb20402117c70a25ec66a5,common_voice_en_18618683.mp3,The local council looks after municipal needs.,2,0,sixties,male,australia,en,,7,False,True
1238229,379dd19cb981e4e0c55e088d74083093ee704d0d2332e65e056b9022bdec56c78d8ad347227fd8b76f9cec853b8fe539142ee5745e0a97c2a4c471187541f91a,common_voice_en_15903317.mp3,The mother sat in the courtroom.,2,0,fourties,male,australia,en,,6,False,True
1359563,7963691c43c8cc498c58f117527522bf772c76c38530570bc55ef04834f67fb7a9227bd0fa1f13e64e8de1cde6594f3501e172ab86559697c08726cac26f4c6f,common_voice_en_20303621.mp3,The young girl introduces herself as Laureline and offers to act as his guide.,2,1,teens,other,australia,en,,14,False,True
742317,12266ce471d445ebc9a7b937a8dd7a2f10083ce10dcc62ed20c9c6d065199f3ab1cbf4d8435fc072e347641e9b599e6630b7c6a8ed741191c0d10ddd0babe1cf,common_voice_en_22066401.mp3,"Counsell was born in South Bend, Indiana.",2,0,teens,male,australia,en,,7,False,True
278249,72b220071a1f664feaa88e18968d96f09c68eff99498a99d815bcf688b139501105bf7c9e9b9bc9c351097902290760f7dc23e2df78cbbbdedb6807ddf7fe88b,common_voice_en_17250847.mp3,"I wanted the doll, but the auction became too expensive.",2,0,fourties,male,australia,en,,10,False,True
548443,23b34622f60dc8e754eda972e58010c5a6e28b4919b475facfdb99e7658d8f84a1bf817a27be681cee634d0c4bc682c2801fe8da78665f0b3d1d0b43ae37de52,common_voice_en_19607900.mp3,Almost every asset class is managed both internally and externally.,2,0,fifties,female,australia,en,,10,False,True
1358496,7963691c43c8cc498c58f117527522bf772c76c38530570bc55ef04834f67fb7a9227bd0fa1f13e64e8de1cde6594f3501e172ab86559697c08726cac26f4c6f,common_voice_en_19743064.mp3,Legs hairy with spurs absent on tibia.,2,0,teens,other,australia,en,,7,False,True
1359848,7963691c43c8cc498c58f117527522bf772c76c38530570bc55ef04834f67fb7a9227bd0fa1f13e64e8de1cde6594f3501e172ab86559697c08726cac26f4c6f,common_voice_en_20424049.mp3,"Early on, it was a major opponent of a perceived ""Americanizing"" of the Church.",2,0,teens,other,australia,en,,14,False,True
1355225,7963691c43c8cc498c58f117527522bf772c76c38530570bc55ef04834f67fb7a9227bd0fa1f13e64e8de1cde6594f3501e172ab86559697c08726cac26f4c6f,common_voice_en_18783262.mp3,The first Baron also represented Tamworth in Parliament as a Conservative.,2,1,teens,other,australia,en,,11,False,True
1188497,cbbf0b4896d532ed8bfad4d3a82e356c699d62cc1f88faaaae8cfeca06bb2376e81af1802e342dfedc6673c08b59d030e0892299d0d516938fc4b40c0b9396fe,common_voice_en_21670025.mp3,The corrections divisions has its offices in Gibson Hall.,2,0,twenties,male,australia,en,,9,False,True
1259798,8449194e8b74b81d761d7a3786cdd5d099aff4f33737c7f476edf3435c3eb483ff6d6515d153c7cfb9193821f01a3a0bd6b049740b029acd7b1488df9bd579d8,common_voice_en_22292203.mp3,"Cable was born in New Milford, Connecticut, where his father was a farmer.",2,0,twenties,female,australia,en,,13,False,True
1171720,4bf6a8447c3ff99dfd903adf11f2bcbd514fed0b77f26f4f616ada44fb86fbfa997a1540d148fb84a4dcb156451938398b05c74b838cb7988a5ed4813e08d059,common_voice_en_22299614.mp3,"He was expelled from the latter for ""gross, studied and sustained insolence"".",2,0,fourties,male,australia,en,,12,False,True
325995,c93fbed7027cc11647b3ac291efba05a49fb24335e229dbf0bab5f9b587133d213d3497bbf5d19803a4b2ee91245d0e56b39a9ccf9fedf97ac69eb279afc2621,common_voice_en_111714.mp3,The men were terrified at his sorcery.,3,0,fifties,male,australia,en,,7,False,True
1363045,7963691c43c8cc498c58f117527522bf772c76c38530570bc55ef04834f67fb7a9227bd0fa1f13e64e8de1cde6594f3501e172ab86559697c08726cac26f4c6f,common_voice_en_21754122.mp3,A unique feature of this pistol model is the unloading device.,2,0,teens,other,australia,en,,11,False,True
1354757,7963691c43c8cc498c58f117527522bf772c76c38530570bc55ef04834f67fb7a9227bd0fa1f13e64e8de1cde6594f3501e172ab86559697c08726cac26f4c6f,common_voice_en_18658046.mp3,I saw a Ford Focus for sale.,2,0,teens,other,australia,en,,7,False,True
1171739,4bf6a8447c3ff99dfd903adf11f2bcbd514fed0b77f26f4f616ada44fb86fbfa997a1540d148fb84a4dcb156451938398b05c74b838cb7988a5ed4813e08d059,common_voice_en_22299708.mp3,"In China, he passed the civil-service examination.",2,0,fourties,male,australia,en,,7,False,True
370298,bbbcdae5adebbd384d8eeb3bb7d56790fdfbcc7a7b0eeaa557bfb7629995ad2e0b895a44093f70b8964c09965421f56c5003b3d19da654fef869b6718fa1b221,common_voice_en_19596026.mp3,Some examples of the music played for the dancers have survived.,2,0,fifties,female,australia,en,,11,False,True
1239024,379dd19cb981e4e0c55e088d74083093ee704d0d2332e65e056b9022bdec56c78d8ad347227fd8b76f9cec853b8fe539142ee5745e0a97c2a4c471187541f91a,common_voice_en_18497173.mp3,I looked in the mirror.,2,0,fourties,male,australia,en,,5,False,True
1359728,7963691c43c8cc498c58f117527522bf772c76c38530570bc55ef04834f67fb7a9227bd0fa1f13e64e8de1cde6594f3501e172ab86559697c08726cac26f4c6f,common_voice_en_20393273.mp3,"During winters, gauchos wore heavy wool ponchos to protect against cold.",2,0,teens,other,australia,en,,11,False,True
563678,a8f4d3495eaf33608036d7a3683c329f19302d088a66798abbf4760a31f26572f6b74ba991164f98a7b8f3ff1f7f2048165fb81216befe9575ed338090044643,common_voice_en_18893760.mp3,Several prostaglandin E synthases have been identified.,2,0,thirties,male,canada,en,,7,False,True
136568,c1d3584f63ba445284b6e418e8838f2f265b8f376083917e64135575cbb3ff1b5d1179508ea6f14651375e493188b76459fcd96f022168add4e3e4c5aff18ed0,common_voice_en_143601.mp3,I wonder what's eating that old money grubbing buzzard anyway?,3,0,sixties,female,canada,en,,10,False,True
174905,88c7f09ac0766ab928c8d29e278cc92a00fe1efba561e7318032b84bfb6d7fb6800a52045e2e70171817f23bf32a95feca7aebeef346c09d698a64580c903f2f,common_voice_en_19687856.mp3,Mongolians traditionally were afraid of misfortunes and believe in good and bad omens.,2,0,teens,male,canada,en,,13,False,True
602031,9116e5c333ffc3b3459e7215d2ae6b8a44b9a3c63e4e575f3f1b817f55183cb5d5a6a450f4be17b187ce423da33675a912a3fb574ff55aaa868b01bdfe2934ac,common_voice_en_19959908.mp3,At the northwestern periphery of the town the drift consists of recently blown sand.,2,0,fourties,male,canada,en,,14,False,True
155533,7cb34fcf2c2964eef465e9ce7388e468687d5fdb8598ebd41e287694f7f8c23fc989b70ff7be7002656140ced44bf71e1279afaa88360f2985161537595874d7,common_voice_en_19610290.mp3,"He was buried at Oak Hill Cemetery in his hometown of Jasper, Alabama.",2,1,teens,male,canada,en,,13,False,True
1167255,ba001b8981452b0f53a34407ce0a848143545733054d1d277437e47644ad871e93614f152ee9e0203a88213f3d2037d6893ff8d15722fff753c9b405d6070a3c,common_voice_en_20114610.mp3,"He enjoyed sailing, owning two boats at Salcombe in Devon.",2,0,thirties,male,canada,en,,10,False,True
932362,2d0e152e5c3736951873b259c7e9e0e657716506e80b46075cf128a522ed95bd4eabd672fc31432924cf0d8632e48aaa4c791e517be06235a7d0d1a9e84f7b55,common_voice_en_22000544.mp3,Cox continued Frazier's policies and made few administrative changes.,2,0,teens,male,canada,en,,9,False,True
1072436,1bc3dc0bc84f16ba31209af3ff03ec57825fb126e2afbca29c4abaa493c1edb2a209c4c260df10a094c5707acc1ad5afdd2e8e8c04f41740ebdd654ac3745994,common_voice_en_17261756.mp3,"For example, Colombia, Chile, Argentina and Venezuela.",2,0,twenties,male,canada,en,,7,False,True
922652,eba6832785b435c14a6a39c48fd232f663867a1240dbf33f99519a9352e86308bc30747694b4e0735c7d34a9b3793404f3da8a584e4a68ea4b0ed3396e8a0d11,common_voice_en_19079890.mp3,It is predicted to increase in a stable growth rate in the coming years.,2,0,teens,male,canada,en,,14,False,True
328318,efaa5cf132533e0384077de8261b0bc445b30bc12e381c5ccd686545777cf394999ee79f931fd725cd9e8182d9f6376ccfb023c47d8bc3baf01737f432a8394d,common_voice_en_18667644.mp3,"Oh, behave!.",2,0,teens,male,canada,en,,2,False,True
557211,f74d880c5ad4c5917f314a604d3fc4805159d255796fb9f8defca35333ecc002bdf53dc463503c12674ea840b21b4a507b7cd0b3c636434f9a06bd81538de4f9,common_voice_en_18607551.mp3,"It was so good of her, and so encouraging to me!",2,0,twenties,male,canada,en,,11,False,True
694054,5e993cc04ddf098bfc9abb8b3846bb0457ec552dcdc83ff742f988837bf873f185fff135d3b0a25469ab9535c29cd8d30274010cdd6ac0e437857873bb1a938b,common_voice_en_21453189.mp3,A total of six games were released in J-Cart format.,2,0,twenties,male,canada,en,,10,False,True
690955,63c0751ea4cdc90984bee61848e2b29c3b45f6f798c9d8f8bc74781538097222a455918f78a35bbfa8bb31d4ddde244a06b73e2485189986680236c8c1f6f09b,common_voice_en_19703082.mp3,"At the time, many units served as both ambulances and funeral vehicles, called combinations.",2,1,fifties,female,canada,en,,14,False,True
989935,ee74e15cc2cfe71d23fd8c9e743b26d6913c64c315f708ce4a290a18c3e14a17a4a17cc5451e7c5af452f431ca0c18a0050f0b8500895b2053eedce5db7e08e1,common_voice_en_20113858.mp3,He also invented many other related inventions.,2,1,fifties,male,canada,en,,7,False,True
961554,e0e4f2ecc07153b5068875105fb1ea9e25f3fb4d31d73f4431220ab500e1e090e302bc6d589a98d4df3bde6f53af4044d807b66cfad2abe0eb40094377caa70b,common_voice_en_185403.mp3,We didn't steal it.,2,0,fifties,male,canada,en,,4,False,True
685302,3bb3a36c57cda41bf756f07477da3e805355dd9b1b9e07f387e0360d7d7d083acbfc6bd86ce3c269e534875bc1f3c13ca4fa18a68f34852747a462b80a1c1b8f,common_voice_en_20835064.mp3,It was also the last album released by James William Guercio's Caribou Records.,2,0,twenties,male,canada,en,,13,False,True
306193,45386ac0e401e71c1e0cc4187361d8df6c971b2c420e0237f207a3845f35a6cb1a5f35a6f4b4273e36c6e51d1d0cc3602a401f389c023cd002caae5b99754a53,common_voice_en_19533514.mp3,"The album was recorded at Randy's in Kingston, Jamaica.",2,0,twenties,male,canada,en,,9,False,True
826446,9bc070aeec70cf09486abbdd19d1665940b457e064debd8271e8170b050a1a219c4c61e8caf3ef7a149e144427f374f1b1d8a975d8f26b2ff2b0b1089f610a63,common_voice_en_20271420.mp3,It simulates an open-sided safari ride through the savanna of East Africa.,2,0,fourties,male,canada,en,,12,False,True
1093371,21580cd2b189178fd1a54f973b311c2c17d9c9c22551bc474aac3ff99a050ef1bf1a09ed2349495ff4454366e998c863a4d766d456ca56f7e711f3f5c06d55c6,common_voice_en_20482206.mp3,Both families had only ocular features.,2,0,twenties,female,canada,en,,6,False,True
1095197,be4d6c000ddacd19ce5d0d7d805ded4aa11a6c541742bdf49e09970b65814e16fa6fbb17e5300ef78c573a14070f9cf0875afb39393d857e469d0e92899c016c,common_voice_en_18842190.mp3,The increase in incarceration led to prison overcrowding.,2,0,fourties,male,canada,en,,8,False,True
555782,aec4ae6acb6bb290cf50ba3447671dc0fc16bc6a722ae3fcddf92cdee6855597df6d0c7c9e71bc5e2e691d8378758d4079b2f93ddeb1235850523646163620bd,common_voice_en_101064.mp3,I think they perceived that nothing was to be done at the moment.,5,0,fifties,female,canada,en,,13,False,True
