sentence,up_votes,down_votes,age,gender,accent,locale,segment,sentence_len,is_asian,us_eu,jobName,transcript
The young girl introduces herself as Laureline and offers to act as his guide.,2,1,teens,other,australia,en,,14,False,True,common_voice_en_20303621.mp3,"The young girl introduces herself as Laura, lean an office to act as his guide."
"Counsell was born in South Bend, Indiana.",2,0,teens,male,australia,en,,7,False,True,common_voice_en_22066401.mp3,Council was born in south bend indiana.
"I wanted the doll, but the auction became too expensive.",2,0,fourties,male,australia,en,,10,False,True,common_voice_en_17250847.mp3,"I wanted the dull, but the auction became too expensive."
Almost every asset class is managed both internally and externally.,2,0,fifties,female,australia,en,,10,False,True,common_voice_en_19607900.mp3,Almost every asset class is managed both internally and externally.
Legs hairy with spurs absent on tibia.,2,0,teens,other,australia,en,,7,False,True,common_voice_en_19743064.mp3,Legs harry with spurs absent on tibia.
"Early on, it was a major opponent of a perceived ""Americanizing"" of the Church.",2,0,teens,other,australia,en,,14,False,True,common_voice_en_20424049.mp3,"Early on, it was major opponent of a perceived Americanizing of the church."
The first Baron also represented Tamworth in Parliament as a Conservative.,2,1,teens,other,australia,en,,11,False,True,common_voice_en_18783262.mp3,The first Barham also represented to morph into Parliament as a Conservative.
The corrections divisions has its offices in Gibson Hall.,2,0,twenties,male,australia,en,,9,False,True,common_voice_en_21670025.mp3,The corrections divisions has its offices in Gibson Hall.
"Cable was born in New Milford, Connecticut, where his father was a farmer.",2,0,twenties,female,australia,en,,13,False,True,common_voice_en_22292203.mp3,"Cable was born in new milford Connecticut, where his father was a farmer."
"He was expelled from the latter for ""gross, studied and sustained insolence"".",2,0,fourties,male,australia,en,,12,False,True,common_voice_en_22299614.mp3,He was expelled from the latter for Gross studied and sustained insolence.
The men were terrified at his sorcery.,3,0,fifties,male,australia,en,,7,False,True,common_voice_en_111714.mp3,The men were terrified at his sorcery.
A unique feature of this pistol model is the unloading device.,2,0,teens,other,australia,en,,11,False,True,common_voice_en_21754122.mp3,A unique feature of this pistol model is the unloading device.
I saw a Ford Focus for sale.,2,0,teens,other,australia,en,,7,False,True,common_voice_en_18658046.mp3,I saw a ford focus for sale.
"In China, he passed the civil-service examination.",2,0,fourties,male,australia,en,,7,False,True,common_voice_en_22299708.mp3,In china he passed the Civil Service examination.
Some examples of the music played for the dancers have survived.,2,0,fifties,female,australia,en,,11,False,True,common_voice_en_19596026.mp3,Some examples of the music played for the dancers have survived.
I looked in the mirror.,2,0,fourties,male,australia,en,,5,False,True,common_voice_en_18497173.mp3,I looked in the mirror.
"During winters, gauchos wore heavy wool ponchos to protect against cold.",2,0,teens,other,australia,en,,11,False,True,common_voice_en_20393273.mp3,During winters grew to more heavy wall pointers to protect against cold.
Several prostaglandin E synthases have been identified.,2,0,thirties,male,canada,en,,7,False,True,common_voice_en_18893760.mp3,Several prostaglandin E synthesis have been identified.
I wonder what's eating that old money grubbing buzzard anyway?,3,0,sixties,female,canada,en,,10,False,True,common_voice_en_143601.mp3,I wonder what's eating that old money grubbing buzzard anyway.
Mongolians traditionally were afraid of misfortunes and believe in good and bad omens.,2,0,teens,male,canada,en,,13,False,True,common_voice_en_19687856.mp3,Mongolians traditionally were afraid of misfortunes and believed in good and bad omens.
At the northwestern periphery of the town the drift consists of recently blown sand.,2,0,fourties,male,canada,en,,14,False,True,common_voice_en_19959908.mp3,At the northwestern periphery of the town of the drift consists of recently blown sand.
"He was buried at Oak Hill Cemetery in his hometown of Jasper, Alabama.",2,1,teens,male,canada,en,,13,False,True,common_voice_en_19610290.mp3,He was buried at o neill Cemetery in his own town of Jasper Alabama.
"He enjoyed sailing, owning two boats at Salcombe in Devon.",2,0,thirties,male,canada,en,,10,False,True,common_voice_en_20114610.mp3,"He enjoyed sailing, owning two boats at Salle Comb in Devon."
Cox continued Frazier's policies and made few administrative changes.,2,0,teens,male,canada,en,,9,False,True,common_voice_en_22000544.mp3,COx continued Frazier's policies and made a few administrative changes Mhm.
"For example, Colombia, Chile, Argentina and Venezuela.",2,0,twenties,male,canada,en,,7,False,True,common_voice_en_17261756.mp3,"For example, Colombia chile Argentina and Venezuela."
It is predicted to increase in a stable growth rate in the coming years.,2,0,teens,male,canada,en,,14,False,True,common_voice_en_19079890.mp3,It is predicted to increase in a stable growth rate in the coming years.
"Oh, behave!.",2,0,teens,male,canada,en,,2,False,True,common_voice_en_18667644.mp3,Oh behave!
"It was so good of her, and so encouraging to me!",2,0,twenties,male,canada,en,,11,False,True,common_voice_en_18607551.mp3,It was so good of her and so encouraging to me.
A total of six games were released in J-Cart format.,2,0,twenties,male,canada,en,,10,False,True,common_voice_en_21453189.mp3,A total of six games were released in J. Card format.
"At the time, many units served as both ambulances and funeral vehicles, called combinations.",2,1,fifties,female,canada,en,,14,False,True,common_voice_en_19703082.mp3,"At the time, many units served as both ambulances and funeral vehicles called combinations."
He also invented many other related inventions.,2,1,fifties,male,canada,en,,7,False,True,common_voice_en_20113858.mp3,He also invented many other related inventions.
We didn't steal it.,2,0,fifties,male,canada,en,,4,False,True,common_voice_en_185403.mp3,We didn't steal it.
It was also the last album released by James William Guercio's Caribou Records.,2,0,twenties,male,canada,en,,13,False,True,common_voice_en_20835064.mp3,It was also the last album released by James William Garcia's Caribou Records.
"The album was recorded at Randy's in Kingston, Jamaica.",2,0,twenties,male,canada,en,,9,False,True,common_voice_en_19533514.mp3,The album was recorded Randy's in Kingston Jamaica.
It simulates an open-sided safari ride through the savanna of East Africa.,2,0,fourties,male,canada,en,,12,False,True,common_voice_en_20271420.mp3,"It stimulates an open sided, so fire ride through the savanna of East africa."
Both families had only ocular features.,2,0,twenties,female,canada,en,,6,False,True,common_voice_en_20482206.mp3,Both families had only ocular features.
The increase in incarceration led to prison overcrowding.,2,0,fourties,male,canada,en,,8,False,True,common_voice_en_18842190.mp3,The increase in incarceration led to prison overcrowding.
I think they perceived that nothing was to be done at the moment.,5,0,fifties,female,canada,en,,13,False,True,common_voice_en_101064.mp3,"Okay, I think they perceived that nothing was to be done at the moment."
They are nicknamed 'Constitution' or 'The Constitutes'.,2,0,twenties,male,canada,en,,7,False,True,common_voice_en_21090921.mp3,They are nicknamed Constitution or the constitutes.
"Despite these divergences in opinions, people can agree on some common views.",2,1,thirties,male,canada,en,,12,False,True,common_voice_en_18645755.mp3,"Despite these divergences and opinions, people can agree on some common views."
What's in it for me?,2,0,fourties,female,canada,en,,5,False,True,common_voice_en_17428767.mp3,What's In It For Me?
The southern part of the county drains into the Canadian River.,3,0,twenties,male,canada,en,,11,False,True,common_voice_en_22469350.mp3,The southern part of the county drains into the Canadian River.
The gate attendant simply scans the code displayed on the phone.,2,0,fifties,male,canada,en,,11,False,True,common_voice_en_21758325.mp3,The gate attendant simply scans the code displayed on the phone.
The Jewel Box cluster is one of the youngest known open clusters.,2,0,twenties,male,canada,en,,12,False,True,common_voice_en_23720119.mp3,The jewel box cluster is one of the youngest known open clusters.
"""The Rena Song"" was dedicated to John Petrucci's wife Rena Sands Petrucci.",2,0,fourties,male,canada,en,,12,False,True,common_voice_en_20212198.mp3,"The renaissance was dedicated to john Petrucci, his wife renaissance Petrucci."
Mark Abshire soon joined as the band's original bassist.,2,0,twenties,male,canada,en,,9,False,True,common_voice_en_18880409.mp3,Mark Hampshire soon joined as the band's original bassist.
He was the center's first paid staff member.,2,0,twenties,male,canada,en,,8,False,True,common_voice_en_18880434.mp3,He was the center's first paid staff member.
The urge to write short stories is rare.,2,0,thirties,male,canada,en,,8,False,True,common_voice_en_15733997.mp3,The urge to read short stories is rare.
When are we leaving for the party?,2,0,teens,male,canada,en,,7,False,True,common_voice_en_17909038.mp3,When are we leaving for the party?
This battle between companies is defended on both sides.,2,0,thirties,male,canada,en,,9,False,True,common_voice_en_22450047.mp3,This battle between companies is defended on both sides.
"Pecock was probably born in Wales and was educated at Oriel College, Oxford.",2,0,twenties,female,canada,en,,13,False,True,common_voice_en_22732064.mp3,"Peacock was probably born in Wales and educated at Oriel College, Oxford."
There he begins to discover things for himself and to rebel against his father.,2,0,twenties,male,canada,en,,14,False,True,common_voice_en_22400377.mp3,There he begins to discover things for himself and to rebel against his father.
Pet sitters monitor a number of different animals.,3,0,teens,male,canada,en,,8,False,True,common_voice_en_19697120.mp3,Pet sitters monitor a number of different animals.
"""I'm going to guide you across the desert,"" the alchemist said.",3,0,fifties,female,canada,en,,11,False,True,common_voice_en_101107.mp3,"I'm going to guide you across the desert, the alchemist said."
"In this case, an agency adds a service fee to the net price.",2,0,teens,female,canada,en,,13,False,True,common_voice_en_19996880.mp3,"In this case, an agency adds a service fee to the net price."
The Formoso High School mascot was Formoso Falcons.,2,1,twenties,male,canada,en,,8,False,True,common_voice_en_22093418.mp3,The Formoso High School mascot was Formoso falcons.
Nabu's cult spread to ancient Egypt.,2,0,twenties,male,canada,en,,6,False,True,common_voice_en_20236100.mp3,Nah booze cult spread to ancient Egypt.
The design of the present flag incorporates the elements from the two former flags.,2,0,twenties,male,canada,en,,14,False,True,common_voice_en_23720198.mp3,The design of the present flag incorporates the elements from the two former flags.
The Baraboo River flows through the city.,2,1,fourties,female,canada,en,,7,False,True,common_voice_en_20238716.mp3,Caribou River flows through the city.
"Generally, the institute opposes tax increases, such as Hawaii's General Excise Tax.",2,0,fourties,male,canada,en,,12,False,True,common_voice_en_22169758.mp3,"Generally, the institute proposes tax increases such as Hawaii's General Excise Tax."
Smoke poured out of every crack.,2,0,sixties,male,canada,en,,6,False,True,common_voice_en_17147386.mp3,Smoke poured out of every crack.
Let's go Hiking across France.,2,1,twenties,male,canada,en,,5,False,True,common_voice_en_143209.mp3,Let's go hiking across France.
Most acetic acid is prepared by this method.,2,1,fourties,male,canada,en,,8,False,True,common_voice_en_22169757.mp3,Most acetic acid is prepared by this method.
"More public commissions followed, including the statue of James Larkin on Dublin's O'Connell Street.",2,1,twenties,male,canada,en,,14,False,True,common_voice_en_20501378.mp3,"More public commissions followed, including the statue of James Larkin on Dublin's O'Connell Street."
"A comet came within miles of the Earth, it almost obliterated the moon.",2,0,twenties,other,canada,en,,13,False,True,common_voice_en_17265793.mp3,A comment came within miles of the Earth it's almost obliterated the Moon.
Burley is a residential area.,2,0,twenties,male,canada,en,,5,False,True,common_voice_en_23797829.mp3,Burleigh is a residential area.
Investigations performed by the police could find no explanation for the phenomenon.,2,0,fifties,female,canada,en,,12,False,True,common_voice_en_19694692.mp3,Investigations performed by the police could find no explanation for the phenomenon.
"Darling, could you grab me some throat candy down at the local chemist?",2,0,fifties,male,canada,en,,13,False,True,common_voice_en_17261288.mp3,Darling could you grab me some throat candy down at the local chemist?
"Why doesn't he do it, why isn't he doing it?",2,0,thirties,male,canada,en,,10,False,True,common_voice_en_20847440.mp3,Why doesn't he do it Why isn't he doing it?
Acute uric acid nephropathy is associated with little or no urine output.,2,0,sixties,male,canada,en,,12,False,True,common_voice_en_19669556.mp3,ACUTE uric acid nephew apathy is associated with little or no urine output.
I learnt so much from them and made some great friends.,2,0,teens,female,england,en,,11,False,True,common_voice_en_20872057.mp3,I learned so much from them and made some great friends.
Actions of the President must be approved by the Commission.,3,0,fifties,male,england,en,,10,False,True,common_voice_en_19677873.mp3,Actions of the President must be approved by the commission.
"""Bodhi"" means ""awakening"" or ""enlightenment"".",2,0,twenties,male,england,en,,5,False,True,common_voice_en_19612307.mp3,Body means awakening or enlightenment.
"For passing the general bridge, you had to pay.",2,0,thirties,male,england,en,,9,False,True,common_voice_en_17728045.mp3,The general breed you need to pay.
Did you really think it through?,2,0,sixties,male,england,en,,6,False,True,common_voice_en_17401437.mp3,Did You really Think It through?
Beach parking is subject to Sauvie Island Wildlife Area parking permits.,2,0,twenties,male,england,en,,11,False,True,common_voice_en_19061389.mp3,Beach parking is subject to solve the island Wildlife Area parking permits.
"Is that a translation, or merely a transliteration?",2,0,thirties,male,england,en,,8,False,True,common_voice_en_18400466.mp3,Is that a translation or merely a transliteration?
"The C++ framework Qt is pronounced like ""cute"".",2,0,teens,male,england,en,,8,False,True,common_voice_en_17266880.mp3,The C plus plus framework cutie is pronounced like cute.
Godzilla smashes a tower that has a self-destruct button that makes the island unstable.,2,0,thirties,female,england,en,,14,False,True,common_voice_en_20726398.mp3,Godzilla smash is a tower that has a self destruct button that makes the island unstable.
It is no use crying over spilt milk.,2,0,fourties,male,england,en,,8,False,True,common_voice_en_17830225.mp3,"Yeah, it's no use crying over spilt milk."
"Neron offers, as he has to many supervillains before, to augment Shade's power.",2,0,twenties,male,england,en,,13,False,True,common_voice_en_18810142.mp3,Near and offers as he has too many super villains before to augment shades power.
"The second of nine children, both of his parents were practicing Catholics.",3,0,thirties,female,england,en,,12,False,True,common_voice_en_18774563.mp3,"The second of nine Children, both of his parents were practicing Catholics."
"Liturgically, the church accepts the creeds of the Evangelical Lutheran church.",2,0,thirties,female,england,en,,11,False,True,common_voice_en_23794157.mp3,Mhm Little magically the church accepts the creed of the Evangelical Lutheran Church Yeah.
"It initially consisted of the county of Northumberland, excluding the township of Monaghan South.",2,0,twenties,male,england,en,,14,False,True,common_voice_en_19840580.mp3,"It essentially consisted of the country of North and billing, excluding the township of monogamy itself."
This lamp is quite nice.,2,0,thirties,male,england,en,,5,False,True,common_voice_en_18133815.mp3,This lamp is quite nice.
More recently each of these groups tends to be treated as a separate subclass.,2,0,twenties,male,england,en,,14,False,True,common_voice_en_23378504.mp3,"More recently, each of these groups tends to be treated as a separate subclass."
A brown leather bag hung from its strap.,2,0,thirties,male,england,en,,8,False,True,common_voice_en_17245817.mp3,Brown is a bag and from its trap.
"Artist Vik Muniz used skywriting for his ""cloud cloud"" project.",2,0,twenties,male,england,en,,10,False,True,common_voice_en_19624455.mp3,Artist fake Mooney's use skywriting for his Cloud Cloud project.
They were on the right track.,2,1,sixties,female,england,en,,6,False,True,common_voice_en_153674.mp3,They were on the right track.
"One particularly rigorous aspect of studio classes is the ""critique"" or ""review.",2,0,twenties,male,england,en,,12,False,True,common_voice_en_19646795.mp3,One particularly rigorous aspect of studio classes is to critique or review.
I arose obediently and went down the beach.,2,0,fourties,male,england,en,,8,False,True,common_voice_en_18414452.mp3,I arose obediently and went down the beach.
This was later adapted by the Army.,2,1,,other,england,en,,7,False,True,common_voice_en_18945564.mp3,This was later adopted by the Army.
He was later expelled by the Sarawak government due to failure to repay debt.,2,1,twenties,male,england,en,,14,False,True,common_voice_en_23354713.mp3,He was later expelled by the Sarah Walk government due to failure to repay debt.
"In quantum mechanics, the Fubini-Study metric is also known as the Bures metric.",2,0,twenties,male,england,en,,13,False,True,common_voice_en_23660440.mp3,"The quantum mechanics, the cube in each study metric, is also known as the poorest metric."
There is no wheelchair access to the platform.,2,0,twenties,female,england,en,,8,False,True,common_voice_en_20149531.mp3,There is no wheelchair access to the platform.
I have no time to waste.,2,0,twenties,male,england,en,,6,False,True,common_voice_en_18606573.mp3,I have no time to waste.
These were sold through Christian bookstores and related outlets.,2,0,twenties,female,england,en,,9,False,True,common_voice_en_22021740.mp3,These were sold through christian bookstores and related outlets.
Get Katherine at the Bulletin on the phone!,2,0,twenties,male,england,en,,8,False,True,common_voice_en_174956.mp3,Get Catherine at the bulletin on the phone.
"Injury-prone in college, this continued as he sat out his rookie season.",2,0,twenties,male,england,en,,12,False,True,common_voice_en_22153672.mp3,Injury prone in college discontinued as he set out his rookie season.
Did she solve the riddle all by herself?,2,0,twenties,male,england,en,,8,False,True,common_voice_en_217979.mp3,Did she solve the riddle all by herself?
The format would soon evolve to Rhythmic Oldies under program director Rick Thomas.,2,0,thirties,male,england,en,,13,False,True,common_voice_en_19741834.mp3,The format would soon evolve to rhythmic all this under program director Rick thomas.
Policemen are investigating in this case.,3,0,thirties,female,england,en,,6,False,True,common_voice_en_214805.mp3,Policemen are investigating in this case.
"The battle resulted in immense casualties, one of whom was Ras Marye.",2,0,twenties,male,england,en,,12,False,True,common_voice_en_21400020.mp3,"The battle resulted in immense casualties, one of whom was rosemary."
In the Palatine Anthology it is said that they established lyric song.,2,1,fourties,male,england,en,,12,False,True,common_voice_en_20252419.mp3,And the politan anthology it is said that they established lyrics sunk.
Among these movements was Zionism as promoted by Theodore Herzl.,2,0,twenties,other,england,en,,10,False,True,common_voice_en_20989616.mp3,Among these movements with zionism as promoted by Theodore Hertzel.
A deputy representative,2,0,thirties,male,england,en,,3,False,True,common_voice_en_12724466.mp3,A Deputy Representative.
The general topography of the province is characterized by uplifted plantation surfaces.,2,0,teens,male,england,en,,12,False,True,common_voice_en_20230377.mp3,The general topography of the province is characterized by uplifted plantation services.
This is also a pragmatic view adopted by a number of scholars.,2,0,thirties,male,england,en,,12,False,True,common_voice_en_21359215.mp3,This is also a pragmatic view adopted by a number of scholars.
As well as at least four unnamed family plots.,2,0,twenties,female,england,en,,9,False,True,common_voice_en_20175145.mp3,As well as at least four unnamed family plots.
Most broadcasts are only a few minutes to a few hours at a time.,2,1,twenties,female,england,en,,14,False,True,common_voice_en_19017444.mp3,Most broadcasts are only a few minutes to a few hours at a time.
"No roads were ever built, and no earthworks or materials were ever bought.",2,0,thirties,male,england,en,,13,False,True,common_voice_en_18993276.mp3,No roads were ever built and no earthworks or materials were ever bought.
"‘I dare say it will,’ replied his friend dryly.",2,0,fifties,male,england,en,,9,False,True,common_voice_en_19638712.mp3,Identity It will reply to his friend dr Lee.
"In continental Europe, ""Letters"" proved equally popular.",2,0,twenties,male,england,en,,7,False,True,common_voice_en_19653084.mp3,In continental europe letters proved equally popular.
A soundtrack was released by Universal Music Group.,2,0,thirties,male,england,en,,8,False,True,common_voice_en_20179040.mp3,A soundtrack was released by Universal Music Group.
He's a fanatic.,3,0,fifties,female,england,en,,3,False,True,common_voice_en_142201.mp3,He's a fanatic.
That would be funny if he did.,2,0,thirties,male,england,en,,7,False,True,common_voice_en_18165270.mp3,That would be funny if he did.
Where'd you get it?,2,0,seventies,male,england,en,,4,False,True,common_voice_en_107507.mp3,Where do you get it?
Fans of Johnny Mathis can thank Mr. Livingston for All The Time among others.,2,0,sixties,male,england,en,,14,False,True,common_voice_en_20313133.mp3,"Fans of johnny Mathis can thank mr Livingston for all the time, among others."
I lost them last Thursday.,2,0,fourties,male,england,en,,5,False,True,common_voice_en_18128676.mp3,I lost the last thursday.
The city inherits a very rich culture.,2,0,twenties,male,england,en,,7,False,True,common_voice_en_23378201.mp3,The city inherits a very rich culture.
Dances are often accompanied by the contrabass or the guitar.,2,0,thirties,male,england,en,,10,False,True,common_voice_en_19753210.mp3,Dancers are often accompanied by the contra bass or the guitar.
The integer arithmetic instructions use the integer operate instruction formats.,2,0,twenties,male,england,en,,10,False,True,common_voice_en_22058527.mp3,The integer arithmetic instructions use the integer operate instruction formats.
